AptName,AptAddress,BedroomNo,BathroomNo,Rent,Area,lat,lng,distanceToPurdue,crimeRate,grocery_w/n_.5mi,busStops_w/n_.1mi
824 N 10Th St,"824 N 10th St, Lafayette IN 47904",0,1,325,300,40.42501214,-86.88586952,1.461698779,2,0,4
1000 N 6Th St,"1000 N 6th St, Lafayette IN 47904",1,1,425,700,40.426809,-86.890835,1.208633745,5,0,1
Twin View,"317 Vine St, West Lafayette IN 47906",1,1,795,410,40.42643682,-86.90823951,0.307249405,6,4,3
910 Union St.,"910 Union St, Lafayette IN 47904",3,3,900,2000,40.42478686,-86.88669139,1.418358024,2,0,4
3348 Chaucer Drive,"3348 Chaucer Dr, Lafayette IN 47909",2,1,695,900,40.37706396,-86.86938017,4.036935621,0,0,0
1932 Union Street,"1932 Union Street, Lafayette IN 47904",2,2,400,1100,40.42481001,-86.87534257,2.015469922,0,0,0
207 West Fowler Avenue,"207 Fowler Avenue, West Lafayette IN 47906",1,1,760,550,40.42748471,-86.90717302,0.389231047,6,4,3
Ananda Apartments,"1010 North Salisbury Street, West Lafayette IN 47906",2,1.5,460,1230,40.435308,-86.905734,0.839442075,5,1,2
Franklin Park,"2543 Neil Armstrong Dr, West Lafayette IN 47906",3,2,350,1120,40.4549763,-86.9304577,2.26772577,4,2,0
Embassy Square,"905 N 7th St, Lafayette IN 47904",1,1,645,560,40.42585316,-86.88940559,1.277768182,4,0,0
Sycamore Place,"2475 Sycamore Lane, West Lafayette IN 47906",1,1,670,618,40.45269486,-86.92272631,1.988746608,4,3,0
Waterfront Apartments,"320 Brown St, West Lafayette IN 47906",4,2,262,1400,40.42456435,-86.8997056,0.733751152,6,5,0
Village Center,"201 Northwestern Ave, West Lafayette IN 47906",0,1,950,325,40.42584936,-86.9079795,0.307614342,6,4,1
The Harbor At Southaven,"1808 Wallhaven Dr., Lafayette IN 47909",2,2,850,1014,40.37672694,-86.87515559,3.889326171,0,0,0
450 North Salisbury Street,"450 North Salisbury Street, West Lafayette IN 47906",1,1,650,500,40.42917232,-86.90557246,0.522947568,6,4,0
1403 N. 15Th St.,"1403 N. 15th St., Lafayette IN 47904",4,2,900,1600,40.43131439,-86.88108947,1.771864553,0,1,0
427 Chauncey Avenue,"427 North Chauncey Avenue, West Lafayette IN 47906",0,1,700,330,40.42795042,-86.90706879,0.410386206,6,4,1
West Lafayette Schools!,"233 Sharon Road, West Lafayette IN 47906",4,2,1650,1800,40.4545087,-86.90103254,2.160397259,1,1,1
2007 N 16Th,"2007 North 16th Street, Lafayette IN 47904",5,3,1200,2000,40.43708824,-86.88023574,1.953414033,0,0,0
Hislope,"238 Pierce St, West Lafayette IN 47906",3,1,455,800,40.42120165,-86.90903021,0.345853888,6,4,2
110 W Lutz Ave,"110 W Lutz Ave, West Lafayette IN 47906",2,1,960,900,40.42888964,-86.9063685,0.477605494,6,4,0
Wabash Landing Apartments,"375 Brown St, West Lafayette IN 47906",2,2,1560,1224,40.42195308,-86.90089105,0.698777128,5,5,3
Global Village Apartmentd,"139 Northwestern Avenue, West Lafayette IN 47906",0,1,850,460,40.42502828,-86.90807814,0.293683347,6,4,1
Fuse Apartments,"720 Northwestern Avenue, West Lafayette IN 47906",1,1,1379,519,40.43261975,-86.91480593,0.546481734,5,2,3
Crosspoint - Amelia Ave.,"3966 Amelia Ave., Lafayette IN 47905",1,1,695,650,40.3983266,-86.83092503,4.721194151,0,0,0
606 N. 13th street,"606 N. 13th street, Lafayette IN 47904",1,1,525,732,40.42289466,-86.88324342,1.604990242,1,0,0
Franklin Park Apartments,"2407 Neil Armstrong Dr, West Lafayette IN 47906",2,2,875,952,40.45306718,-86.92800897,2.097076936,4,2,0
120 Asher Street Apt 3,"120-3 Asher Street, Lafayette IN 47905",1,1,425,800,40.41853442,-86.87914195,1.865972216,0,0,0
120 Asher Street Apt 2,"120-2 Asher St, Lafayette IN 47901",1,1,450,750,40.41853442,-86.87914195,1.865972216,0,0,0
River Market,"108 South River Road, West Lafayette IN 47906",2,1,429,648,40.42124338,-86.90473648,0.52825025,5,5,2
Rivercross Apts.,"915 N 6th Street, Lafayette IN 47904",2,1,310,760,40.42592786,-86.89061517,1.214575075,4,0,1
Boardwalk,"112 W Wood St., West Lafayette IN 47906",2,2,1390,974,40.42178476,-86.90688885,0.410925392,6,5,0
The Cottages,"705 Evergreen, West Lafayette IN 47906",4,1,435,1589,40.4322565,-86.91403031,0.51836394,6,2,2
204 Chippewa Street,"204 Chippewa Street, West Lafayette IN 47906",4,2.5,1500,2400,40.4492301,-86.90324318,1.777492766,2,2,0
309 Lawn Ave,"309 Lawn Ave, West Lafayette IN 47906",3,2,1500,1800,40.432662,-86.90854465,0.608469269,6,3,0
1431 Woodland Avenue,"1431 Woodland Avenue, West Lafayette IN 47906",3,1,1700,2000,40.43964094,-86.91576573,1.03436239,3,2,0
S&S Rentals 765-418-2800,"1013 N 8th St, Lafayette IN 47904",2,1,565,900,40.4269071,-86.88819614,1.347345255,3,0,3
Parkway Apartments,"2501 Soldiers Home Road, West Lafayette IN 47906",2,1,290,800,40.4534124,-86.9029967,2.057921669,2,3,2
Bradford Place,"3224 S. 9th St., Lafayette IN 47909",2,1,625,800,40.38044366,-86.885745,3.39695121,0,0,0
Mayfair Village,"2450 Sycamore Lane, West Lafayette IN 47906",2,1,288,279,40.45193586,-86.92133511,1.921142018,4,4,0
Blackbird Farms,"2411 Kestral Blvd., West Lafayette IN 47906",3,2,1010,1200,40.44509001,-86.9423298,2.061644795,2,0,4
Salem Courthouse,"3008 Courthouse Drive E., West Lafayette IN 47907",2,1,385,933,40.46314353,-86.92717908,2.74653713,3,0,0
Grant Street Station - New Luxury Apartments,"320 S. Grant Street, West Lafayette IN 47906",1,1,1375,600,40.41972588,-86.91018255,0.392969727,5,3,5
The Lodge,"2101 Cumberland Avenue, West Lafayette IN 47906",3,3,320,903,40.4568192,-86.9480031,2.859119761,2,0,0
525 1/2 Vine,"525 Vine, West Lafayette IN 47906",2,1,1060,675,40.43013516,-86.90828438,0.466443763,6,5,2
328 Lawn Ave,"328 Lawn Avenue, West Lafayette IN 47906",3,1.5,1500,1500,40.43283321,-86.90893715,0.610436073,6,2,0
Pickwick Place,"231 Pierce St, West Lafayette IN 47906",3,1,1290,900,40.42126664,-86.9092491,0.334603079,6,4,3
540 Vine St.,"540 Vine St., West Lafayette IN 47906",6,2,2250,1000,40.43025808,-86.90806198,0.48030573,6,5,2
1628 Tabor Court,"1628 Tabor Court, Lafayette IN 47909",3,2,1100,1300,40.36857837,-86.87949625,4.279064873,0,0,0
Uptown West,"712 N 6th St, Lafayette IN 47901",2,1,635,724,40.42407819,-86.89081296,1.202438919,4,2,0
Butterfield,"3012 Butterfield Ct, Lafayette IN 47909",2,2,860,900,40.38487044,-86.91214289,2.758251096,0,0,0
Mccormick Place Apartments,"2110 McCormick Road, West Lafayette IN 47906",1,1,810,750,40.44782476,-86.94395319,2.254353267,2,0,0
250 Schilling ----White Door Management,"250 Schilling Street, West Lafayette IN 47906",3,1,850,1000,40.43623716,-86.90323728,0.963870079,5,0,0
32 N Salisbury Street,"32 N Salisbury St, West Lafayette IN 47906",4,3,2100,1300,40.42353319,-86.9055015,0.437012749,6,5,0
24 South 8th Street,"24 South 8th Street, Lafayette IN 47901",4,2,800,2200,40.41709463,-86.88778015,1.460672143,1,1,0
802 S 9Th St,"802 S 9th St, Lafayette IN 47905",2,1,750,850,40.408721,-86.88654527,1.806450202,0,0,0
920 S 21st Street ,"920 S 21st St, Lafayette IN 47905",3,2,275,200,40.40799445,-86.87332378,2.417790544,0,0,0
802-804 Ferry St,"802-804 Ferry St, Lafayette IN 47901",3,2,850,1700,40.42011289,-86.88808984,1.382681312,2,1,4
351 South Chauncey Avenue,"351 South Chauncey Avenue, West Lafayette IN 47906",1,1,610,500,40.41936879,-86.90878178,0.452254219,5,3,5
Park Place On Chauncey,"440 S Chauncey Ave, West Lafayette IN 47906",2,2,610,888,40.41784536,-86.908916,0.539028185,5,2,4
Maplehouse,"488 Maple Street, West Lafayette IN 47906",3,2,1350,1500,40.4303437,-86.90429997,0.62510731,6,3,2
106 Sylvia Street,"106 Sylvia Street, West Lafayette IN 47906",0,1,475,1200,40.42988554,-86.90660564,0.512553953,6,5,2
250 Sheetz St.,"250 Sheetz St., West Lafayette IN 47906",4,3,2100,1300,40.42123172,-86.91208999,0.257421555,6,3,1
Park Place on Chauncey,"440 S Chauncey Ave, West Lafayette IN 47906",3,3,1680,1043,40.41784536,-86.908916,0.539028185,5,2,4
120 Dehart,"120 Dehart, West Lafayette IN 47906",2,1,985,950,40.43274298,-86.90451091,0.731708146,6,0,2
419 Dodge Street,"419 Dodge Street, West Lafayette IN 47906",1,1,550,600,40.43315093,-86.91081359,0.598676967,6,2,1
Campus Housing,"428 N. Grant St., West Lafayette IN 47906",4,4,1800,1500,40.42866774,-86.91029222,0.322579878,6,5,2
439 Salisbury St.,"439 North Salisbury St., West Lafayette IN 47906",3,2,1500,1500,40.42817933,-86.90577135,0.4770371,6,4,0
1630 N 13Th St,"1630 N 13th St, Lafayette IN 47904",3,1,750,1500,40.43368365,-86.88354065,1.699809076,0,0,0
Fuse Purdue,"720 Northwestern Avenue, West Lafayette IN 47906",2,1,894,790,40.43261975,-86.91480593,0.546481734,5,2,3
Cedarwood,"527 N Grant St, West Lafayette IN 47906",4,2,485,1000,40.43098,-86.910521,0.460183084,6,4,2
Evergreen Rentals,"422 S Grant St, West Lafayette IN 47906",4,1,300,1000,40.41806613,-86.9101532,0.498005574,5,2,2
River Market Apartment,"221 East State Street, West Lafayette IN 47906",0,1,739,410,40.42283098,-86.90610196,0.418919121,6,5,0
206 West Lutz,"206 W Lutz Ave, West Lafayette IN 47906",4,2,2000,2000,40.42890168,-86.90718039,0.444615203,6,5,1
216 Sylvia Street House,"216 Sylvia Street, West Lafayette IN 47906",4,2,1980,2000,40.42989659,-86.9074091,0.48343665,6,5,3
